Index,Upazila_or_Thana,District,Area_Zip_Code,Latitude,Longitude,Operator,Active_Network_Available,Network_Level,Satisfaction_Score,Real_Time_Experience
12635,Chowgacha,Jashore,7410,23.2667,89.025,Teletalk,3G/2G,Low,3,2
12636,Jashore Sadar,Jashore,7400,23.1681,89.2042,Teletalk,3G/2G,Low,3,3.5
12637,Jhikargacha,Jashore,7420,23.1,89.1333,Teletalk,3G/2G,Low,3,3
12638,Keshabpur,Jashore,7450,22.9042,89.5667,Teletalk,3G/2G,Low,3,2.5
12639,Monirampur,Jashore,7440,23.0167,89.2333,Teletalk,3G/2G,Low,3,2
12640,Sarsha,Jashore,7430,23.0744,88.8667,Teletalk,3G/2G,Very Low,1,1.5
12641,Harinakunda,Jhenaidah,7310,23.6417,89.05,Teletalk,3G/2G,Low,3,2
12642,Jhenaidah Sadar,Jhenaidah,7300,23.5417,89.1833,Teletalk,3G/2G,Low,3,2.5
12643,Kaliganj,Jhenaidah,7350,23.4139,89.1333,Teletalk,3G/2G,Low,3,2.5
12644,Kotchandpur,Jhenaidah,7330,23.4,89.0167,Teletalk,3G/2G,Very Low,1,1.5
12645,Moheshpur,Jhenaidah,7340,23.35,88.9125,Teletalk,3G/2G,Very Low,1,1.5
12646,Shailkupa,Jhenaidah,7320,23.6917,89.25,Teletalk,3G/2G,Low,3,3
12647,Batiaghata,Khulna,9260,22.7417,89.5167,Teletalk,3G/2G,Low,3,2
12648,Dacope,Khulna,9270,22.5722,89.5111,Teletalk,3G/2G,Very Low,1,1.5
12649,Dighalia,Khulna,9220,22.9083,89.5333,Teletalk,3G/2G,Very Low,1,1.5
12650,Dumuria,Khulna,9250,22.8083,89.425,Teletalk,3G/2G,Low,3,2
12651,Koira,Khulna,9290,22.3417,89.3,Teletalk,3G/2G,Not Available,0,0.5
12652,Paikgacha,Khulna,9280,22.5889,89.3361,Teletalk,3G/2G,Very Low,1,0.5
12653,Phultala,Khulna,9210,22.975,89.4583,Teletalk,3G/2G,Low,3,3.5
12654,Rupsa,Khulna,9240,22.8333,89.5833,Teletalk,3G/2G,Very Low,1,1.5
12655,Terokhada,Khulna,9230,22.9417,89.6694,Teletalk,3G/2G,Very Low,1,0.5
12656,Bheramara,Kushtia,7040,24.0167,88.9917,Teletalk,3G/2G,Low,3,2
12657,Daulatpur,Kushtia,7050,24.0014,88.875,Teletalk,3G/2G,Low,3,1.5
12658,Khoksha,Kushtia,7020,23.8,89.2833,Teletalk,3G/2G,Low,3,5
12659,Kumarkhali,Kushtia,7010,23.8564724,89.114823,Teletalk,3G/2G,Low,3,2.5
12660,Kushtia Sadar,Kushtia,7000,23.9,89.1333,Teletalk,3G/2G,Moderate,6,3.5
12661,Mirpur,Kushtia,7030,23.9333,89,Teletalk,3G/2G,Low,3,2
12662,Magura Sadar,Magura,7600,23.4875,89.4208,Teletalk,3G/2G,Low,3,2.5
12663,Mohammadpur,Magura,7630,23.4,89.56,Teletalk,3G/2G,Very Low,1,0.5
12664,Salikha,Magura,7620,23.34,89.36,Teletalk,3G/2G,Very Low,1,1
12665,Sreepur,Magura,7610,23.6,89.3875,Teletalk,3G/2G,Not Available,0,0
12666,Gangni,Meherpur,7110,23.81666667,88.755,Teletalk,3G/2G,Very Low,1,1.5
12667,Meherpur Sadar,Meherpur,7100,23.775,88.6417,Teletalk,3G/2G,Low,3,3
12668,Mujibnagar,Meherpur,7102,23.65003,88.59804,Teletalk,3G/2G,Very Low,1,0.5
12669,Kalia,Narail,7520,23.0333,89.6167,Teletalk,3G/2G,Not Available,0,0.5
12670,Lohagara,Narail,7510,23.1833,89.6625,Teletalk,3G/2G,Very Low,1,0.5
12671,Narail Sadar,Narail,7500,23.175,89.505,Teletalk,3G/2G,Low,3,2
12672,Assasuni,Satkhira,9460,22.55,89.1681,Teletalk,3G/2G,Very Low,1,3
12673,Debhata,Satkhira,9430,22.5667,88.9667,Teletalk,3G/2G,Very Low,1,0.5
12674,Kalaroa,Satkhira,9410,22.59,89.01,Teletalk,3G/2G,Very Low,1,0.5
12675,Kaliganj,Satkhira,9440,22.45,89.0417,Teletalk,3G/2G,Very Low,1,0.5
12676,Satkhira Sadar,Satkhira,9400,22.7167,89.075,Teletalk,3G/2G,Low,3,2.5
12677,Shyamnagar,Satkhira,9450,22.3306,89.1028,Teletalk,3G/2G,Very Low,1,0.5
12678,Tala,Satkhira,9420,22.75,89.25,Teletalk,3G/2G,Very Low,1,1
12679,Bakshiganj,Jamalpur,2140,25.225,89.875,Teletalk,3G/2G,Very Low,1,0.5
12680,Dewanganj,Jamalpur,2030,25.1417,89.7833,Teletalk,3G/2G,Very Low,1,1
12681,Islampur,Jamalpur,2020,25.0833,89.7917,Teletalk,3G/2G,Very Low,1,1
12682,Jamalpur Sadar,Jamalpur,2000,24.9167,89.9583,Teletalk,3G/2G,Low,3,2
12683,Madarganj,Jamalpur,2040,24.8917,89.75,Teletalk,3G/2G,Very Low,1,0.5
12684,Melendah,Jamalpur,2010,24.9667,89.8333,Teletalk,3G/2G,Very Low,1,1
12685,Sarishabari,Jamalpur,2050,24.7417,89.8333,Teletalk,3G/2G,Very Low,1,1.5
12686,Bhaluka,Mymensingh,2240,24.375,90.37833333,Teletalk,3G/2G,Very Low,1,1.5
12687,Dhobaura,Mymensingh,2416,25.0917,90.5333,Teletalk,3G/2G,Not Available,0,0
12688,Fulbaria,Mymensingh,2216,24.6333,90.2667,Teletalk,3G/2G,Very Low,1,0.5
12689,Gaffargaon,Mymensingh,2230,24.4167,90.55,Teletalk,3G/2G,Very Low,1,2
12690,Gouripur,Mymensingh,2270,24.75833333,90.575,Teletalk,3G/2G,Low,3,1.5
12691,Haluaghat,Mymensingh,2260,25.125,90.35,Teletalk,3G/2G,Low,3,2
12692,Ishwarganj,Mymensingh,2280,24.6833,90.625,Teletalk,3G/2G,Very Low,1,1.5
12693,Muktagacha,Mymensingh,2210,24.7583,90.2667,Teletalk,3G/2G,Very Low,1,1
12694,Mymensingh Sadar,Mymensingh,2220,24.75,90.4167,Teletalk,3G/2G,Low,3,4
12695,Nandail,Mymensingh,2290,24.5667,90.6833,Teletalk,3G/2G,Very Low,1,2
12696,Phulpur,Mymensingh,2250,24.95,90.36166667,Teletalk,3G/2G,Very Low,1,0.5
12697,Tarakanda,Mymensingh,2252,24.85,90.43333333,Teletalk,3G/2G,Very Low,1,0.5
12698,Trishal,Mymensingh,2220,24.575,90.39166667,Teletalk,3G/2G,Low,3,2
12699,Atpara,Netrakona,2470,24.8083,90.8667,Teletalk,3G/2G,Very Low,1,0.5
12700,Barhatta,Netrakona,2440,24.9,90.875,Teletalk,3G/2G,Very Low,1,0.5
12701,Durgapur,Netrakona,2420,25.125,90.6875,Teletalk,3G/2G,Very Low,1,0.5
12702,Kalmakanda,Netrakona,2430,25.0833,90.8917,Teletalk,3G/2G,Very Low,1,0.5
12703,Kendua,Netrakona,2480,24.65,90.8417,Teletalk,3G/2G,Very Low,1,1.5
12704,Khaliajuri,Netrakona,2460,24.7,91.125,Teletalk,3G/2G,Very Low,1,1.5
12705,Madan,Netrakona,2490,24.7167,90.9667,Teletalk,3G/2G,Very Low,1,0.5
12706,Mohanganj,Netrakona,2446,24.8667,90.9667,Teletalk,3G/2G,Very Low,1,1
12707,Netrakona Sadar,Netrakona,2400,24.875,90.7333,Teletalk,3G/2G,Low,3,2
12708,Purbadhala,Netrakona,2410,24.9333,90.6028,Teletalk,3G/2G,Very Low,1,1
12709,Jhenaigati,Sherpur,2120,25.1833,90.0667,Teletalk,3G/2G,Not Available,0,0
12710,Nakla,Sherpur,2150,24.98333333,90.18333333,Teletalk,3G/2G,Not Available,0,0
12711,Nalitabari,Sherpur,2110,25.08333333,90.18527778,Teletalk,3G/2G,Not Available,0,0
12712,Sherpur Sadar,Sherpur,2100,25,90.0167,Teletalk,3G/2G,Low,3,2
12713,Sreebordi,Sherpur,2130,25.18,89.95,Teletalk,3G/2G,Not Available,0,0
12714,Adamdighi,Bogura,5890,24.81666667,89,Teletalk,3G/2G,Low,3,4
12715,Bogura Sadar,Bogura,5800,24.8417,89.375,Teletalk,3G/2G,Low,3,3
12716,Dhunot,Bogura,5850,24.6833,89.5375,Teletalk,3G/2G,Low,3,2
12717,Dhupchancia,Bogura,5880,24.875,89.17,Teletalk,3G/2G,Low,3,3
12718,Gabtali,Bogura,5820,24.875,89.45,Teletalk,3G/2G,Very Low,1,1.5
12719,Kahaloo,Bogura,5870,24.8167,89.2667,Teletalk,3G/2G,Low,3,2
12720,Nandigram,Bogura,5860,24.6611,89.2333,Teletalk,3G/2G,Low,3,2
12721,Sariakandi,Bogura,5830,24.8833,89.5667,Teletalk,3G/2G,Low,3,3
12722,Shajahanpur,Bogura,5801,24.7604,89.3606,Teletalk,3G/2G,Low,3,3
12723,Sherpur,Bogura,5840,24.66666667,89.41666667,Teletalk,3G/2G,Low,3,2.5
12724,Shibganj,Bogura,5810,25.0167,89.3167,Teletalk,3G/2G,Low,3,3.5
12725,Sonatala,Bogura,5826,25.0333,89.4917,Teletalk,3G/2G,Low,3,2
12726,Bholahat,Chapainawabganj,6330,24.89,88.22,Teletalk,3G/2G,Not Available,0,0
12727,Gomostapur,Chapainawabganj,6320,24.86,88.37,Teletalk,3G/2G,Not Available,0,0
12728,Nachol,Chapainawabganj,6310,24.73,88.42,Teletalk,3G/2G,Very Low,1,0.5
12729,Nawabganj Sadar,Chapainawabganj,6300,24.6,88.2667,Teletalk,3G/2G,Low,3,3
12730,Shibganj,Chapainawabganj,6340,24.6833,88.1667,Teletalk,3G/2G,Very Low,1,0.5
12731,Akkelpur,Joypurhat,5940,24.975,89.02,Teletalk,3G/2G,Very Low,1,1.5
12732,Joypurhat Sadar,Joypurhat,5900,25.1,89.03333333,Teletalk,3G/2G,Low,3,2.5
12733,Kalai,Joypurhat,5930,25.0583,89.1833,Teletalk,3G/2G,Very Low,1,0.5
12734,Khetlal,Joypurhat,5920,25.025,89.13333333,Teletalk,3G/2G,Very Low,1,1
12735,Panchbibi,Joypurhat,5910,25.195,89.02,Teletalk,3G/2G,Very Low,1,1
12736,Atrai,Naogaon,6596,24.61333333,88.97,Teletalk,3G/2G,Very Low,1,0.5
12737,Badalgachi,Naogaon,6570,24.96666667,88.9,Teletalk,3G/2G,Very Low,1,1.5
12738,Dhamoirhat,Naogaon,6580,25.14,88.85,Teletalk,3G/2G,Not Available,0,0
12739,Manda,Naogaon,6510,24.775,88.67,Teletalk,3G/2G,Very Low,1,0.5
12740,Mohadevpur,Naogaon,6530,24.9183,88.7483,Teletalk,3G/2G,Very Low,1,1.5
12741,Naogaon Sadar,Naogaon,6500,24.805,88.95,Teletalk,3G/2G,Low,3,3
12742,Niamatpur,Naogaon,6520,24.83,88.55,Teletalk,3G/2G,Very Low,1,0.5
12743,Patnitala,Naogaon,6540,25.05,88.7333,Teletalk,3G/2G,Very Low,1,0.5
12744,Porsha,Naogaon,6550,25.025,88.4833,Teletalk,3G/2G,Not Available,0,0
12745,Raninagar,Naogaon,6590,24.7333,88.975,Teletalk,3G/2G,Very Low,1,0.5
12746,Sapahar,Naogaon,6560,25.125,88.58166667,Teletalk,3G/2G,Not Available,0,0.5
12747,Bagatipara,Natore,6410,24.33,88.945,Teletalk,3G/2G,Very Low,1,1
12748,Baraigram,Natore,6430,24.3083,89.1708,Teletalk,3G/2G,Very Low,1,0.5
12749,Gurudaspur,Natore,6440,24.3667,89.25,Teletalk,3G/2G,Very Low,1,1
12750,Lalpur,Natore,6420,24.1833,88.975,Teletalk,3G/2G,Not Available,0,0
12751,Naldanga,Natore,6403,24.4969,88.9605,Teletalk,3G/2G,Not Available,0,0
12752,Natore Sadar,Natore,6400,24.4139,88.93,Teletalk,3G/2G,Low,3,2.5
12753,Singra,Natore,6450,24.5,89.13333333,Teletalk,3G/2G,Very Low,1,1.5
12754,Atghoria,Pabna,6610,24.1333,89.25,Teletalk,3G/2G,Low,3,2
12755,Bera,Pabna,6680,24.0667,89.625,Teletalk,3G/2G,Very Low,1,1.5
12756,Bhangura,Pabna,6640,24.225,89.4,Teletalk,3G/2G,Very Low,1,0.5
12757,Chatmohar,Pabna,6630,24.23,89.3,Teletalk,3G/2G,Very Low,1,0.5
12758,Faridpur,Pabna,6650,24.1583,89.4528,Teletalk,3G/2G,Low,3,2
12759,Ishwardi,Pabna,6620,24.15,89.0667,Teletalk,3G/2G,Very Low,1,1.5
12760,Pabna Sadar,Pabna,6600,24.005,89.25,Teletalk,3G/2G,Low,3,2.5
12761,Santhia,Pabna,6670,24.0583,89.5333,Teletalk,3G/2G,Very Low,1,1
12762,Sujanagar,Pabna,6660,23.9167,89.4333,Teletalk,3G/2G,Very Low,1,1
12763,Bagha,Rajshahi,6280,24.1917,88.8333,Teletalk,3G/2G,Very Low,1,0.5
12764,Bagmara,Rajshahi,6250,24.5639,88.8083,Teletalk,3G/2G,Very Low,1,0.5
12765,Charghat,Rajshahi,6270,24.2833,88.775,Teletalk,3G/2G,Low,3,1.5
12766,Durgapur,Rajshahi,6240,24.4556,88.7667,Teletalk,3G/2G,Very Low,1,0.5
12767,Godagari,Rajshahi,6290,24.4667,88.3306,Teletalk,3G/2G,Low,3,2
12768,Mohanpur,Rajshahi,6220,24.5639,88.65,Teletalk,3G/2G,Very Low,1,0.5
12769,Paba,Rajshahi,6210,24.4417,88.6278,Teletalk,3G/2G,Very Low,1,2
12770,Puthia,Rajshahi,6260,24.375,88.85,Teletalk,3G/2G,Low,3,2
12771,Tanore,Rajshahi,6230,24.6028,88.5806,Teletalk,3G/2G,Very Low,1,0.5
12772,Belkuchi,Sirajganj,6740,24.2917,89.7,Teletalk,3G/2G,Low,3,2
12773,Chowhali,Sirajganj,6752,24.2111,89.7208,Teletalk,3G/2G,Not Available,0,0
12774,Kamarkhanda,Sirajganj,6730,24.38,89.65,Teletalk,3G/2G,Not Available,0,0
12775,Kazipur,Sirajganj,6710,24.6417,89.65,Teletalk,3G/2G,Not Available,0,0
12776,Raiganj,Sirajganj,6721,24.5014,89.5347,Teletalk,3G/2G,Very Low,1,1.5
12777,Shahzadpur,Sirajganj,6770,24.17,89.58833333,Teletalk,3G/2G,Very Low,1,1.5
12778,Sirajganj Sadar,Sirajganj,6700,24.45833,89.7,Teletalk,3G/2G,Low,3,3.5
12779,Tarash,Sirajganj,6780,24.4333,89.375,Teletalk,3G/2G,Not Available,0,0
12780,Ullapara,Sirajganj,6760,24.3194,89.5667,Teletalk,3G/2G,Very Low,1,1
12781,Birampur,Dinajpur,5266,25.3783,88.9833,Teletalk,3G/2G,Low,3,2
12782,Birganj,Dinajpur,5220,26,88.5833,Teletalk,3G/2G,Very Low,1,1.5
12783,Birol,Dinajpur,5210,25.6333,88.5333,Teletalk,3G/2G,Low,3,2
12784,Bochaganj,Dinajpur,5216,25.8,88.4611,Teletalk,3G/2G,Very Low,1,2
12785,Chirirbandar,Dinajpur,5240,25.6625,88.7833,Teletalk,3G/2G,Low,3,2.5
12786,Dinajpur Sadar,Dinajpur,5200,25.6333,88.65,Teletalk,3G/2G,Moderate,6,5.5
12787,Fulbari,Dinajpur,5260,25.51666667,88.88333333,Teletalk,3G/2G,Low,3,2
12788,Ghoraghat,Dinajpur,5291,25.2458,89.2167,Teletalk,3G/2G,Very Low,1,1.5
12789,Hakimpur,Dinajpur,5270,25.2833,89.0167,Teletalk,3G/2G,Very Low,1,1.5
12790,Kaharol,Dinajpur,5226,25.7917,88.6,Teletalk,3G/2G,Very Low,1,1.5
12791,Khanshama,Dinajpur,5230,25.9278,88.7333,Teletalk,3G/2G,Very Low,1,1.5
12792,Nawabganj,Dinajpur,5280,25.4167,89.0833,Teletalk,3G/2G,Very Low,1,1.5
12793,Parbatipur,Dinajpur,5250,25.6533,88.9155,Teletalk,3G/2G,Low,3,2
12794,Fulchari,Gaibandha,5760,25.1917,89.6167,Teletalk,3G/2G,Very Low,1,0.5
12795,Gaibandha Sadar,Gaibandha,5700,25.325,89.6278,Teletalk,3G/2G,Low,3,2
12796,Gobindaganj,Gaibandha,5740,25.1333,89.3917,Teletalk,3G/2G,Low,3,2.5
12797,Palashbari,Gaibandha,5730,25.2833,89.35,Teletalk,3G/2G,Low,3,2
12798,Sadullapur,Gaibandha,5710,25.3833,89.4667,Teletalk,3G/2G,Very Low,1,1
12799,Saghata,Gaibandha,5750,25.1056,89.5861,Teletalk,3G/2G,Very Low,1,1.5
12800,Sundarganj,Gaibandha,5720,25.56436222,89.51909,Teletalk,3G/2G,Very Low,1,1.5
12801,Bhurungamari,Kurigram,5670,26.125,89.6833,Teletalk,3G/2G,Not Available,0,0
12802,Chilmari,Kurigram,5630,25.5667,89.6917,Teletalk,3G/2G,Not Available,0,0
12803,Fulbari,Kurigram,5680,25.95,89.56666667,Teletalk,3G/2G,Not Available,0,0
12804,Kurigram Sadar,Kurigram,5600,25.8167,89.65,Teletalk,3G/2G,Very Low,1,1.5
12805,Nageswari,Kurigram,5660,25.96,89.74,Teletalk,3G/2G,Not Available,0,0
12806,Rajarhat,Kurigram,5610,25.8,89.55,Teletalk,3G/2G,Not Available,0,0
12807,Char Rajibpur,Kurigram,5650,25.4,89.6917,Teletalk,3G/2G,Not Available,0,0
12808,Rowmari,Kurigram,5640,25.5625,89.85,Teletalk,3G/2G,Not Available,0,0
12809,Ulipur,Kurigram,5620,25.6639,89.6333,Teletalk,3G/2G,Not Available,0,0
12810,Aditmari,Lalmonirhat,5510,25.925,89.35,Teletalk,3G/2G,Very Low,1,0.5
12811,Hatibandha,Lalmonirhat,5530,26.1125,89.1333,Teletalk,3G/2G,Very Low,1,1.5
12812,Kaliganj,Lalmonirhat,5520,25.9676,89.2068,Teletalk,3G/2G,Very Low,1,1.5
12813,Lalmonirhat Sadar,Lalmonirhat,5500,25.915,89.45,Teletalk,3G/2G,Low,3,2.5
12814,Patgram,Lalmonirhat,5540,26.35,89.01666667,Teletalk,3G/2G,Very Low,1,1.5
12815,Dimla,Nilphamari,5350,26.16,89,Teletalk,3G/2G,Not Available,0,0
12816,Domar,Nilphamari,5340,26.1,88.8361,Teletalk,3G/2G,Low,3,2
12817,Jaldhaka,Nilphamari,5330,26.03,88.99,Teletalk,3G/2G,Not Available,0,0
12818,Kishoreganj,Nilphamari,5320,25.9111,89.025,Teletalk,3G/2G,Not Available,0,0.5
12819,Nilphamari Sadar,Nilphamari,5300,25.9417,88.8444,Teletalk,3G/2G,Low,3,3
12820,Sayedpur,Nilphamari,5310,25.7778,88.8917,Teletalk,3G/2G,Low,3,3
12821,Atwari,Panchagarh,5040,26.3083,88.4583,Teletalk,3G/2G,Very Low,1,1.5
12822,Boda,Panchagarh,5010,26.2083,88.5597,Teletalk,3G/2G,Very Low,1,1
12823,Debiganj,Panchagarh,5020,26.1185,88.7592,Teletalk,3G/2G,Very Low,1,0.5
12824,Panchagarh Sadar,Panchagarh,5000,26.3347,88.5583,Teletalk,3G/2G,Low,3,2
12825,Tetulia,Panchagarh,5030,26.48333333,88.35,Teletalk,3G/2G,Very Low,1,0.5
12826,Badarganj,Rangpur,5430,25.66666667,89.05,Teletalk,3G/2G,Low,3,2
12827,Gangachara,Rangpur,5410,25.85,89.2167,Teletalk,3G/2G,Very Low,1,1.5
12828,Kaunia,Rangpur,5440,25.7708,89.4167,Teletalk,3G/2G,Very Low,1,0.5
12829,Mithapukur,Rangpur,5460,25.5417,89.2833,Teletalk,3G/2G,Very Low,1,1
12830,Pirgacha,Rangpur,5450,25.58,89.4,Teletalk,3G/2G,Very Low,1,1
12831,Pirganj,Rangpur,5470,25.4153,89.3167,Teletalk,3G/2G,Very Low,1,1
12832,Rangpur Sadar,Rangpur,5400,25.75014,89.23333,Teletalk,3G/2G,Moderate,6,6
12833,Taraganj,Rangpur,5420,25.79,89.04,Teletalk,3G/2G,Very Low,1,1.5
12834,Baliadangi,Thakurgaon,5140,26.1,88.275,Teletalk,3G/2G,Very Low,1,1.5
12835,Haripur,Thakurgaon,5130,25.8083,88.1417,Teletalk,3G/2G,Very Low,1,0.5
12836,Pirganj,Thakurgaon,5110,25.8542,88.3667,Teletalk,3G/2G,Very Low,1,1
12837,Ranisankail,Thakurgaon,5120,25.88833333,88.25166667,Teletalk,3G/2G,Very Low,1,1
12838,Thakurgaon Sadar,Thakurgaon,5100,26.0208,88.4667,Teletalk,3G/2G,Low,3,2.5
12839,Ajmiriganj,Habiganj,3360,24.5472,91.25,Teletalk,3G/2G,Very Low,1,1
12840,Bahubal,Habiganj,3310,24.3556,91.5417,Teletalk,3G/2G,Very Low,1,1
12841,Baniachong,Habiganj,3350,24.5417,91.3333,Teletalk,3G/2G,Very Low,1,0.5
12842,Chunarughat,Habiganj,3320,24.2,91.51666667,Teletalk,3G/2G,Very Low,1,1.5
12843,Habiganj Sadar,Habiganj,3300,24.375,91.4167,Teletalk,3G/2G,Low,3,3
12844,Lakhai,Habiganj,3340,24.2889,91.2167,Teletalk,3G/2G,Very Low,1,1
12845,Madhabpur,Habiganj,3330,24.1028,91.2917,Teletalk,3G/2G,Low,3,2
12846,Nabiganj,Habiganj,3370,24.56666667,91.515,Teletalk,3G/2G,Very Low,1,1
12847,Sayestaganj,Habiganj,3301,24.2733003,91.4463813,Teletalk,3G/2G,Low,3,2
12848,Barlekha,Moulvibazar,3250,24.7083,92.2,Teletalk,3G/2G,Very Low,1,1.5
12849,Juri,Moulvibazar,3251,24.58006,92.164672,Teletalk,3G/2G,Very Low,1,1.5
12850,Kamalganj,Moulvibazar,3220,24.3667,91.8667,Teletalk,3G/2G,Low,3,2.5
12851,Kulaura,Moulvibazar,3230,24.86833333,92.05916667,Teletalk,3G/2G,Low,3,2.5
12852,Moulvibazar Sadar,Moulvibazar,3200,24.4778,91.7667,Teletalk,3G/2G,Low,3,3
12853,Rajnagar,Moulvibazar,3240,24.51666667,91.86666667,Teletalk,3G/2G,Very Low,1,1.5
12854,Sreemangal,Moulvibazar,3210,24.3083,91.7333,Teletalk,3G/2G,Low,3,2
12855,Biswamvarpur,Sunamganj,3010,25.1,91.3,Teletalk,3G/2G,Very Low,1,1
12856,Chatak,Sunamganj,3080,25.0417,91.675,Teletalk,3G/2G,Very Low,1,1.5
12857,Dakshin Sunamganj,Sunamganj,3020,24.93951,91.41359,Teletalk,3G/2G,Very Low,1,1
12858,Derai,Sunamganj,3040,24.79,91.35,Teletalk,3G/2G,Not Available,0,0
12859,Dharmapasha,Sunamganj,2450,24.9,91.0167,Teletalk,3G/2G,Very Low,1,0.5
12860,Dowarabazar,Sunamganj,3070,25.05,91.5667,Teletalk,3G/2G,Very Low,1,0.5
12861,Jagannathpur,Sunamganj,3060,24.76666667,91.55,Teletalk,3G/2G,Very Low,1,1.5
12862,Jamalganj,Sunamganj,3020,24.9833,91.2333,Teletalk,3G/2G,Very Low,1,0.5
12863,Sulla,Sunamganj,3050,24.6264,91.25,Teletalk,3G/2G,Not Available,0,0
12864,Sunamganj Sadar,Sunamganj,3000,25.06666667,91.4,Teletalk,3G/2G,Low,3,2
12865,Tahirpur,Sunamganj,3030,25.0917,91.175,Teletalk,3G/2G,Very Low,1,1.5
12866,Balaganj,Sylhet,3120,24.6667,91.8333,Teletalk,3G/2G,Low,3,2
12867,Beanibazar,Sylhet,3170,24.825,92.1625,Teletalk,3G/2G,Very Low,1,1.5
12868,Biswanath,Sylhet,3130,24.8083,91.7639,Teletalk,3G/2G,Very Low,1,1.5
12869,Companiganj,Sylhet,3140,25.0791,91.7542,Teletalk,3G/2G,Very Low,1,1
12870,Dakshin Surma,Sylhet,3107,24.803,91.914,Teletalk,3G/2G,Low,3,3
12871,Fenchuganj,Sylhet,3116,24.7083,91.9403,Teletalk,3G/2G,Low,3,3
12872,Golapganj,Sylhet,3160,24.8583,92.0208,Teletalk,3G/2G,Low,3,1.5
12873,Gowainghat,Sylhet,3150,25.08,91.97,Teletalk,3G/2G,Low,3,2
12874,Jointiapur,Sylhet,3156,25.125,92.1167,Teletalk,3G/2G,Very Low,1,0.5
12875,Kanaighat,Sylhet,3180,25.0166,92.2472,Teletalk,3G/2G,Very Low,1,1
12876,Osmaninagar,Sylhet,3122,24.718244,91.74657,Teletalk,3G/2G,Very Low,1,2
12877,Sylhet Sadar,Sylhet,3100,24.8917,91.8833,Teletalk,3G/2G,Moderate,6,7
12878,Zakiganj,Sylhet,3190,24.8778,92.3722,Teletalk,3G/2G,Very Low,1,0.5
12879,Gournadi,Barishal,8230,22.9736,90.2306,Teletalk,3G/2G,Very Low,1,1.5
12880,Adabar,Dhaka,1207,23.7733,90.3548,GP,4G,Good,10,9.5
12881,Uttar Khan,Dhaka,1230,23.8709,90.4327,GP,4G,Good,10,9.5
12882,Uttara,Dhaka,1230,23.8759,90.3795,GP,4G,Good,10,9
12883,Kadamtali,Dhaka,1362,23.69732,90.457698,GP,4G,Good,10,8.5
12884,Kalabagan,Dhaka,1205,23.744,90.3872,GP,4G,Good,10,9.5
12885,Kafrul,Dhaka,1206,23.7896,90.3913,GP,4G,Good,10,9.5
12886,Kamrangirchar,Dhaka,1211,23.7182,90.3678,GP,4G,Good,10,8
12887,Cantonment,Dhaka,1206,23.8245,90.4056,GP,4G,Good,10,9.5
12888,Kotwali,Dhaka,1100,23.7107,90.409,GP,4G,Good,10,9.5
12889,Khilkhet,Dhaka,1229,23.8281,90.4197,GP,4G,Good,10,9.5
12890,Khilgaon,Dhaka,1219,23.7566,90.4644,GP,4G,Good,10,8
12891,Gulshan,Dhaka,1212,23.7925,90.4078,GP,4G,Good,10,9.5
12892,Gandaria,Dhaka,1204,23.702453,90.426069,GP,4G,Good,10,8.5
12893,Chawkbazar,Dhaka,1211,23.7083,90.3916,GP,4G,Good,10,9
12894,Demra,Dhaka,1360,23.7209,90.4833,GP,4G,Good,10,9
12895,Turag,Dhaka,1230,23.8759,90.3701,GP,4G,Good,10,9.5
12896,Tejgaon,Dhaka,1215,23.7598,90.3913,GP,4G,Good,10,9.5
12897,Tejgaon Industrial Area,Dhaka,1208,23.7658,90.396,GP,4G,Good,10,10
12898,Dakshinkhan,Dhaka,1230,23.8594,90.4268,GP,4G,Good,10,9.5
12899,Darus Salam,Dhaka,1216,23.7833,90.3416,GP,4G,Good,10,9.5
12900,Dhanmondi,Dhaka,1209,23.7461,90.3742,GP,4G,Good,10,9
12901,New Market,Dhaka,1205,23.7331,90.3869,GP,4G,Good,10,9.5
12902,Paltan,Dhaka,1000,23.733,90.3984,GP,4G,Good,10,10
12903,Pallabi,Dhaka,1216,23.8283,90.3607,GP,4G,Good,10,9
12904,Bangshal,Dhaka,1100,23.7181,90.4007,GP,4G,Good,10,9.5
12905,Badda,Dhaka,1212,23.7805,90.4267,GP,4G,Good,10,9.5
12906,Bimanbandar,Dhaka,1229,23.8333,90.4,GP,4G,Good,10,10
12907,Motijheel,Dhaka,1222,23.733,90.4172,GP,4G,Good,10,10
12908,Mirpur,Dhaka,1216,23.8223,90.3654,GP,4G,Good,10,9
12909,Mohammadpur,Dhaka,1207,23.766,90.3586,GP,4G,Good,10,9.5
12910,Jatrabari,Dhaka,1236,23.7103,90.4355,GP,4G,Good,10,10
12911,Ramna,Dhaka,1217,23.733,90.3984,GP,4G,Good,10,10
12912,Rampura,Dhaka,1219,23.7613,90.4435,GP,4G,Good,10,9
12913,Lalbagh,Dhaka,1211,23.7182,90.3866,GP,4G,Good,10,10
12914,Shah Ali,Dhaka,1229,23.8054,90.3489,GP,4G,Good,10,9.5
12915,Shahbagh,Dhaka,1200,23.725,90.3916,GP,4G,Good,10,10
12916,Sher-e-Bangla Nagar,Dhaka,1207,23.7717,90.3772,GP,4G,Good,10,9.5
12917,Shyampur,Dhaka,1204,23.6853,90.4455,GP,4G,Good,10,9.5
